,f190486d6,58e2e02e6,eeb9cd3aa,9fd594eec,6eef030c1,15ace8c9f,fb0f5dbfe,58e056e12,20aa07010,024c577b9,d6bb78916,b43a7cfd5,58232a6fb
2071,0.0,1477600.0,1586888.88,75000.0,3147200.0,466461.54,1600000.0,0.0,440000.0,3076666.66,550000.0,247166.66,296444.44
3492,310000.0,0.0,1477600.0,1586888.88,75000.0,3147200.0,466461.54,1600000.0,0.0,440000.0,3076666.66,550000.0,247166.66
378,3513333.34,310000.0,0.0,1477600.0,1586888.88,75000.0,3147200.0,466461.54,1600000.0,0.0,440000.0,3076666.66,550000.0
2971,160000.0,3513333.34,310000.0,0.0,1477600.0,1586888.88,75000.0,3147200.0,466461.54,1600000.0,0.0,440000.0,3076666.66
2366,2352551.72,160000.0,3513333.34,310000.0,0.0,1477600.0,1586888.88,75000.0,3147200.0,466461.54,1600000.0,0.0,440000.0
4414,280000.0,2352551.72,160000.0,3513333.34,310000.0,0.0,1477600.0,1586888.88,75000.0,3147200.0,466461.54,1600000.0,0.0
2790,5450500.0,280000.0,2352551.72,160000.0,3513333.34,310000.0,0.0,1477600.0,1586888.88,75000.0,3147200.0,466461.54,1600000.0
3979,1359000.0,5450500.0,280000.0,2352551.72,160000.0,3513333.34,310000.0,0.0,1477600.0,1586888.88,75000.0,3147200.0,466461.54
193,60000.0,1359000.0,5450500.0,280000.0,2352551.72,160000.0,3513333.34,310000.0,0.0,1477600.0,1586888.88,75000.0,3147200.0
1189,12000000.0,60000.0,1359000.0,5450500.0,280000.0,2352551.72,160000.0,3513333.34,310000.0,0.0,1477600.0,1586888.88,75000.0
3516,500000.0,12000000.0,60000.0,1359000.0,5450500.0,280000.0,2352551.72,160000.0,3513333.34,310000.0,0.0,1477600.0,1586888.88
810,1878571.42,500000.0,12000000.0,60000.0,1359000.0,5450500.0,280000.0,2352551.72,160000.0,3513333.34,310000.0,0.0,1477600.0
4443,814800.0,1878571.42,500000.0,12000000.0,60000.0,1359000.0,5450500.0,280000.0,2352551.72,160000.0,3513333.34,310000.0,0.0
